TASKID,Call Start Time,Call Duration (in seconds),Call Owner,Call Owner Id,Subject,Call Type,Call Purpose,Billable,Created Time,Modified Time,CONTACTID,ACCOUNTID,POTENTIALID,LEADID,Call Duration (in minutes),Who Id Id,What Id,SEMODULE
5000309,2021-04-15 23:03:00,420,Lazar Mathew,1003,US INVOICE CALL,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2440,1458,0,,7,,,
9000346,2021-04-15 23:03:00,300,Lazar Mathew,1003,us books,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,3278,,0,,5,,,
2000309,2021-04-15 23:03:00,420,Lazar Mathew,1003,US INVOICE CALL,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2440,1458,0,,7,,,
100079,2021-04-15 23:03:00,60,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2972,,26521,,1,,,
8000184,2021-04-15 23:03:00,180,Lazar Mathew,1003,US INVOICE,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2445,,0,,3,,,
6000346,2021-04-15 23:03:00,300,Lazar Mathew,1003,us books,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,3278,,0,,5,,,
1000309,2021-04-15 23:03:00,420,Lazar Mathew,1003,US INVOICE CALL,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2440,1458,0,,7,,,
4000140,2021-04-15 23:03:00,600,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3387,1262,0,,10,,,
3000309,2021-04-15 23:03:00,420,Lazar Mathew,1003,US INVOICE CALL,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2440,1458,0,,7,,,
10000230,2021-04-15 23:03:00,300,Lazar Mathew,1003,US INVOICE,Outbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,5,,,
4000309,2021-04-15 23:03:00,420,Lazar Mathew,1003,US INVOICE CALL,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2440,1458,0,,7,,,
4000141,2021-04-15 23:03:00,420,Lazar Mathew,1003,US cREATOR,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,7,,,
600093,2021-04-15 23:03:00,0,Thomas Mondrake,1009,User wanted to subscribe for ZMail,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3010,1482,0,,0,,,
300077,2021-04-15 23:03:00,600,Lazar Mathew,1003,us books,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2212,959,0,,10,,,
6000156,2021-04-15 23:03:00,420,Lazar Mathew,1003,US BOOKS,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,7,,,
5000140,2021-04-15 23:03:00,600,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3387,1262,0,,10,,,
1000093,2021-04-15 23:03:00,0,Thomas Mondrake,1009,User wanted to subscribe for ZMail,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3010,1482,0,,0,,,
900088,2021-04-15 23:03:00,0,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,3229,1392,0,,0,,,
100081,2021-04-15 23:03:00,600,Lazar Mathew,1003,us invoice,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,10,,,
300078,2021-04-15 23:03:00,60,Lazar Mathew,1003,US reports,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,1,,,
2000229,2021-04-15 23:03:00,300,Lazar Mathew,1003,US BOOKS,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,5,,,
2000346,2021-04-15 23:03:00,300,Lazar Mathew,1003,us books,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,3278,,0,,5,,,
8000159,2021-04-15 23:03:00,420,Lazar Mathew,1003,US Reports,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2390,206,0,,7,,,
200090,2021-04-15 23:03:00,180,Lazar Mathew,1003,US calendar,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2877,,26319,,3,,,
9000309,2021-04-15 23:03:00,420,Lazar Mathew,1003,US INVOICE CALL,Outbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,2440,1458,0,,7,,,
4000229,2021-04-15 23:03:00,300,Lazar Mathew,1003,US BOOKS,Inbound,Prospecting,Yes,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,5,,,
5000141,2021-04-15 23:03:00,420,Lazar Mathew,1003,US cREATOR,Inbound,Prospecting,No,2021-04-15 00:03:00,2021-10-08 00:09:00,,,,,7,,,
