CONTACTID,Last Name,Contact Owner Id,Contact Owner,Account Id,Email,Lead Source,Mobile,Created Time
2585,Tucker,1007,David Love,386,BeckiTTucker@dayrep.com,Partner,805-247-8982,"16 Apr, 2021 00:02:00"
2593,Aguilar,1001,Rozario Diego,394,WandaHAguilar@rhyta.com,External Referral,732-984-5010,"16 Apr, 2021 00:02:00"
2849,Glass,1001,Rozario Diego,650,BenEGlass@gustr.com,Cold Call,586-507-7911,"16 Apr, 2021 00:02:00"
2354,Gandy,1008,Roger Terrence,155,CharlesKGandy@jourrapide.com,Sales Mail Alias,412-850-7296,"16 Apr, 2021 00:02:00"
2372,Wright,1007,David Love,173,SusanDWright@dayrep.com,Sales Mail Alias,304-808-7559,"16 Apr, 2021 00:02:00"
2639,Young,1007,David Love,440,JosephJYoung@gustr.com,Partner,678-518-5234,"16 Apr, 2021 00:02:00"
3151,Delgado,1004,Pete Zachariah,952,EricNDelgado@einrot.com,Cold Call,650-690-0246,"16 Apr, 2021 00:02:00"
2898,Hopper,1005,Jasmine Frank,699,LewisTHopper@einrot.com,Web Research,469-550-1148,"16 Apr, 2021 00:02:00"
2900,Hart,1008,Roger Terrence,701,JeromeYHart@gustr.com,Sales Mail Alias,510-964-8005,"16 Apr, 2021 00:02:00"
2391,Grissom,1007,David Love,192,LatonyaJGrissom@gustr.com,Advertisement,206-953-1530,"16 Apr, 2021 00:02:00"
2651,Livingston,1009,Thomas Mondrake,452,HectorALivingston@fleckens.hu,Partner,515-976-5361,"16 Apr, 2021 00:02:00"
2670,Brown,1004,Pete Zachariah,471,IrvinSBrown@jourrapide.com,Online Store,585-256-1298,"16 Apr, 2021 00:02:00"
3200,Taylor,1011,Tina Thomas,1001,DaleFTaylor@gustr.com,Sales Mail Alias,254-458-4982,"16 Apr, 2021 00:02:00"
2710,Guy,1011,Tina Thomas,511,JustinTGuy@teleworm.us,Web Research,407-997-3447,"16 Apr, 2021 00:02:00"
2457,Brown,1007,David Love,258,WesleyEBrown@jourrapide.com,Partner,256-852-9243,"16 Apr, 2021 00:02:00"
2203,Hall,1008,Roger Terrence,4,ArronAHall@armyspy.com,Advertisement,928-566-6804,"16 Apr, 2021 00:02:00"
2715,Fagan,1007,David Love,516,ElsieFFagan@superrito.com,Employee Referral,781-998-0621,"16 Apr, 2021 00:02:00"
2987,Mason,1004,Pete Zachariah,788,TimothyMMason@rhyta.com,Web Research,408-869-9864,"16 Apr, 2021 00:02:00"
2222,Obrien,1010,Augustine Paul,23,JamesGObrien@fleckens.hu,External Referral,318-715-4326,"16 Apr, 2021 00:02:00"
2743,Flynn,1004,Pete Zachariah,544,MathewMFlynn@teleworm.us,Sales Mail Alias,484-684-7338,"16 Apr, 2021 00:02:00"
3262,Johnson,1001,Rozario Diego,1063,WilmaJJohnson@jourrapide.com,Advertisement,361-583-0044,"16 Apr, 2021 00:02:00"
2511,Keele,1003,Lazar Mathew,312,GaryDKeele@einrot.com,Online Store,717-762-2433,"16 Apr, 2021 00:02:00"
2516,Watkins,1004,Pete Zachariah,317,RalphAWatkins@gustr.com,Partner,573-243-0877,"16 Apr, 2021 00:02:00"
2552,Clark,1005,Jasmine Frank,353,LindaFClark@teleworm.us,Employee Referral,660-425-8783,"16 Apr, 2021 00:02:00"
