LEADID,Last Name,Company,Lead Owner,Email,Mobile,Website,Industry,Lead Source,Lead Status,Created Time,CONVERTED,month_Created Time1
4563,Denson,Maurice The Pants Man,David Love,GaryLDenson@cuvox.de,660-485-0224,CameraUpdate.com,Education,Employee Referral,Contacted,"15 Apr, 2021 00:03:00",Yes,April
4564,Hall,Chargepal,Thomas Mondrake,MaryCHall@armyspy.com,860-253-6354,ForwardShop.com,Pharma,Sales Mail Alias,Junk Lead,"15 Apr, 2021 00:03:00",Yes,April
4565,Anderson,Awthentikz,Lazar Mathew,JosephKAnderson@dayrep.com,336-856-3419,OptimalBliss.com,Manufacturing,Cold Call,Attempted to Contact,"15 Apr, 2021 00:03:00",Yes,April
4566,Huddleston,Sunny's Surplus,Pete Zachariah,CliffRHuddleston@armyspy.com,660-643-4947,BaldStore.com,Pharma,Sales Mail Alias,Pre Qualified,"15 Apr, 2021 00:03:00",Yes,April
4568,Fields,All Wound Up,Roger Terrence,RoyCFields@cuvox.de,563-508-6582,MysteryCD.com,Education,Employee Referral,Lost Lead,"15 Apr, 2021 00:03:00",Yes,April
4570,Burke,Circus World,Pete Zachariah,ErnestoABurke@jourrapide.com,408-626-3735,TutorParty.com,IT Services,Sales Mail Alias,Pre Qualified,"15 Apr, 2021 00:03:00",Yes,April
4572,Roye,Merry-Go-Round,Santa Cruz Clara,TerranceARoye@gustr.com,732-226-1891,TooPopular.com,Communications,Public Relations,Contacted,"15 Apr, 2021 00:03:00",Yes,April
4574,Javier,Pender's Food Stores,Tina Thomas,AdrianTJavier@gustr.com,507-417-6153,FriendFail.com,Technology,Sales Mail Alias,Attempted to Contact,"15 Apr, 2021 00:03:00",Yes,April
4575,Proto,Luria's,Jasmine Frank,SeanBProto@superrito.com,620-637-3622,ConnectionSwap.com,Technology,Partner,Pre Qualified,"15 Apr, 2021 00:03:00",Yes,April
4576,Goodloe,Rack N Sack,Pete Zachariah,JeannetteOGoodloe@teleworm.us,314-682-7318,ShorterSale.com,Manufacturing,Partner,Contact in Future,"15 Apr, 2021 00:03:00",Yes,April
4577,Miller,Erlebacher's,Rozario Diego,HortenciaWMiller@gustr.com,209-345-5165,CalgaryDermatologist.com,Communications,Partner,Lost Lead,"15 Apr, 2021 00:03:00",Yes,April
4578,Fredericksen,Country Club Markets,Tina Thomas,VictorAFredericksen@jourrapide.com,410-241-7129,BetaRoom.com,IT Services,Partner,Contacted,"15 Apr, 2021 00:03:00",Yes,April
4579,Paige,Asian Answers,David Love,CharlesSPaige@gustr.com,775-522-5030,SharperDiscounts.com,Manufacturing,Sales Mail Alias,Not Contacted,"15 Apr, 2021 00:03:00",Yes,April
4580,Estes,National Tea,Pete Zachariah,HollyREstes@dayrep.com,775-317-8837,BrandingInnovations.com,Service Provider,Trade Show,Contact in Future,"15 Apr, 2021 00:03:00",Yes,April
4581,Siegel,Rex Audio Video Appliance,Harold Pawlan,RoxanneOSiegel@jourrapide.com,631-849-0379,StocktonMortgageBrokers.com,Consulting,Employee Referral,Contacted,"15 Apr, 2021 00:03:00",Yes,April
4582,Johnston,Target Source,David Love,CrystalAJohnston@armyspy.com,601-300-5161,JournalGame.com,Pharma,Advertisement,Junk Lead,"15 Apr, 2021 00:03:00",Yes,April
4583,Boone,Complete Tech,Thomas Mondrake,JohnABoone@rhyta.com,432-301-6281,NowWeather.com,Consulting,Web Research,Attempted to Contact,"15 Apr, 2021 00:03:00",Yes,April
4584,Johnson,Suncoast Video,Augustine Paul,TracyRJohnson@rhyta.com,256-756-9499,GreenCounselor.com,Manufacturing,Cold Call,Pre Qualified,"15 Apr, 2021 00:03:00",Yes,April
4585,Reed,Total Yard Management,Harold Pawlan,DeneenRReed@gustr.com,630-387-1917,TraditionalHomeLoan.com,Consulting,Web Research,Contact in Future,"15 Apr, 2021 00:03:00",Yes,April
4586,Rosin,Handy City,Tina Thomas,ChristopherTRosin@rhyta.com,303-873-5722,PureShades.com,Manufacturing,Advertisement,Lost Lead,"15 Apr, 2021 00:03:00",Yes,April
4587,Ortiz,Wheels Discount Auto,Roger Terrence,HesterWOrtiz@dayrep.com,818-998-9966,TechnicalGaming.com,Technology,Public Relations,Contacted,"15 Apr, 2021 00:03:00",Yes,April
3314,Shaw,Pay 'N Pak,Harold Pawlan,GaryDShaw@teleworm.us,505-328-3273,LittleRockVet.com,Communications,Web Research,Not Contacted,"09 Apr, 2021 00:03:00",Yes,April
2728,Wallace,Our Own Hardware,Roger Terrence,MollieDWallace@cuvox.de,815-591-2956,PhoneWorkshop.com,Technology,Online Store,Contacted,"09 Apr, 2021 00:02:00",Yes,April
2047,Cummings,Multicerv,Pete Zachariah,StephanieBCummings@armyspy.com,508-247-6232,NoMoratorium.com,Pharma,Cold Call,Lost Lead,"07 Apr, 2021 00:03:00",Yes,April
2050,Lott,BASCO,Thomas Mondrake,DebraPLott@cuvox.de,321-327-2998,GhostPrivacy.com,Financial Services,Public Relations,Contact in Future,"04 Apr, 2021 00:03:00",No,April
3997,Vang,Big A Auto Parts,Harold Pawlan,TylerBVang@einrot.com,423-892-0814,TennisMemories.com,Pharma,Trade Show,Contacted,"04 Apr, 2021 00:02:00",Yes,April
3992,Shaw,W. Bell & Co.,Rozario Diego,MarieWShaw@superrito.com,585-670-6109,SelfReviews.com,Education,Web Research,Lost Lead,"01 Apr, 2021 00:02:00",Yes,April
2051,Hill,Gold Leaf Garden Management,Harold Pawlan,AlexJHill@armyspy.com,856-468-5024,SuperiorMarketers.com,Financial Services,Trade Show,Contacted,"30 Mar, 2021 00:03:00",Yes,March
3309,Snyder,KG Menswear,Lazar Mathew,MarielleDSnyder@gustr.com,262-348-2072,JudoBasics.com,Financial Services,Public Relations,Attempted to Contact,"28 Mar, 2021 00:03:00",Yes,March
2053,Phillips,Acuserv,Thomas Mondrake,DonaldBPhillips@fleckens.hu,828-477-1700,PollDaily.com,Education,Advertisement,Attempted to Contact,"28 Mar, 2021 00:03:00",No,March
2723,Robinson,Olson Electronics,Harold Pawlan,LouiseJRobinson@gustr.com,617-565-4608,SocialQuarterly.com,Service Provider,Online Store,Contacted,"28 Mar, 2021 00:02:00",Yes,March
4588,Anderson,Finast,Tina Thomas,WallaceDAnderson@jourrapide.com,509-374-0126,WildBoutique.com,Consulting,Advertisement,Not Contacted,"27 Mar, 2021 00:02:00",Yes,March
4589,Bassett,Big A Auto Parts,Lazar Mathew,JacobRBassett@rhyta.com,701-644-9043,MilwaukeeEstate.com,IT Services,Sales Mail Alias,Pre Qualified,"27 Mar, 2021 00:02:00",Yes,March
4590,Miller,Rack N Sack,Roger Terrence,DorisTMiller@jourrapide.com,920-470-2414,TicketScanners.com,Financial Services,Partner,Contacted,"27 Mar, 2021 00:02:00",Yes,March
4591,Partin,Computer City,Lazar Mathew,MarcoNPartin@armyspy.com,262-714-9199,OpenProtection.com,Government/Military,Online Store,Junk Lead,"27 Mar, 2021 00:02:00",Yes,March
4592,Erickson,Electronics Source,Rozario Diego,StephenAErickson@rhyta.com,775-317-3826,MotivationalCourses.com,Technology,Trade Show,Attempted to Contact,"27 Mar, 2021 00:02:00",Yes,March
4593,Abbott,Handy City,Rozario Diego,AshleyVAbbott@cuvox.de,574-298-7888,BostonInteriorDecorators.com,Education,Trade Show,Pre Qualified,"27 Mar, 2021 00:02:00",Yes,March
4596,Peeler,Architectural Genie,Roger Terrence,LeslieBPeeler@jourrapide.com,618-272-0603,RentalFriend.com,Manufacturing,Public Relations,Contacted,"27 Mar, 2021 00:02:00",Yes,March
4598,Lutes,Rex Audio Video Appliance,Harold Pawlan,KathleenDLutes@teleworm.us,919-218-7915,CashCowGambling.com,Service Provider,Trade Show,Pre Qualified,"27 Mar, 2021 00:02:00",Yes,March
4600,Hardee,Magna Wealth,Roger Terrence,TrentAHardee@rhyta.com,830-895-5533,FallTube.com,Service Provider,External Referral,Junk Lead,"27 Mar, 2021 00:02:00",Yes,March
4602,Marshall,Sports Unlimited,Rozario Diego,LoriGMarshall@jourrapide.com,870-862-3148,CleaningBlitz.com,IT Services,Partner,Pre Qualified,"27 Mar, 2021 00:02:00",Yes,March
4603,Bryant,House Works,Santa Cruz Clara,CharlesMBryant@fleckens.hu,410-986-2565,BroadcastLocal.com,Manufacturing,Web Research,Contact in Future,"27 Mar, 2021 00:02:00",Yes,March
3325,Russ,Food Giant,Pete Zachariah,CindyRRuss@fleckens.hu,803-589-5046,StockBlocker.com,Financial Services,Public Relations,Contacted,"27 Mar, 2021 00:02:00",Yes,March
3326,Gutierrez,National Auto Parts,Pete Zachariah,AaronCGutierrez@superrito.com,970-373-6835,Hybridville.com,Pharma,Public Relations,Junk Lead,"27 Mar, 2021 00:02:00",Yes,March
2058,Baumann,Total Yard Management,Harold Pawlan,RicardoSBaumann@cuvox.de,973-709-1733,FantasyCrime.com,Consulting,Partner,Not Contacted,"27 Mar, 2021 00:02:00",Yes,March
2062,Johnson,First Rate Choice,Pete Zachariah,WilmaJJohnson@jourrapide.com,361-583-0044,DelawareInsuranceAgents.com,Government/Military,Employee Referral,Attempted to Contact,"27 Mar, 2021 00:02:00",Yes,March
2070,Maldonado,Total Yard Management,Augustine Paul,RosieAMaldonado@cuvox.de,212-996-0934,BloggingSocial.com,Communications,Partner,Junk Lead,"27 Mar, 2021 00:02:00",Yes,March
2073,Snyder,Montana's Cookhouse,Tina Thomas,FrancesRSnyder@gustr.com,201-758-8823,RadioActor.com,Communications,Partner,Contact in Future,"27 Mar, 2021 00:02:00",No,March
