Potential Name,Potential Owner,Created Time,Closing Date,Amount,Expected Revenue,Stage,Forecast Type,Type,Lead Source,Probability,Age in Days,Age Tier,Amount Tier,LEADID,Tasks Involved,Events Involved,Calls Involved,Activities Involved,Campaign Id
"Lewis, James",Roger Terrence,"15 Apr, 2021 00:02:00","16 Apr, 2021 00:03:00","$22,700.00","$33,500.00",Needs Analysis,Open,Existing Business,Advertisement,100,1,1. 0 - 60 days,"3. $20,001 - $30K",1832,No,No,No,No,24000023
"Kirk, Rebecca",Rozario Diego,"15 Apr, 2021 00:02:00","16 Apr, 2021 00:03:00","$29,700.00","$24,900.00",Initial Offer,Open,Existing Business,Employee Referral,0,1,1. 0 - 60 days,"3. $20,001 - $30K",1941,No,No,No,No,24000026
"Langlais, Micah",Roger Terrence,"15 Apr, 2021 00:02:00","16 Apr, 2021 00:03:00","$10,700.00","$9,600.00",Qualification,Open,New Business,Cold Call,100,1,1. 0 - 60 days,"2. $10,001 - $20K",1455,No,No,No,No,24000012
"Wilcox, Ronald",Lazar Mathew,"13 Apr, 2021 00:02:00","15 Apr, 2021 00:03:00","$10,500.00","$11,600.00",Needs Analysis,Open,Existing Business,Sales Mail Alias,20,2,1. 0 - 60 days,"2. $10,001 - $20K",1918,No,No,No,No,24000024
"Moore, Kevin",David Love,"13 Apr, 2021 00:02:00","15 Apr, 2021 00:03:00","$22,400.00","$24,200.00",Closed Lost,Lost,New Business,Advertisement,80,2,1. 0 - 60 days,"3. $20,001 - $30K",1786,No,No,No,No,24000022
"Amy, Joshua",Rozario Diego,"12 Apr, 2021 00:02:00","14 Apr, 2021 00:04:00","$12,100.00","$19,550.00",Prospect,Open,New Business,Employee Referral,25,2,1. 0 - 60 days,"2. $10,001 - $20K",1699,No,No,No,No,24000019
"Stricklin, James",Santa Cruz Clara,"11 Apr, 2021 00:02:00","13 May, 2021 00:03:00","$26,200.00","$33,600.00",Closed Won,Won,New Business,Public Relations,100,32,1. 0 - 60 days,"3. $20,001 - $30K",1773,No,No,No,No,24000022
"Goodman, Mary",David Love,"11 Apr, 2021 00:02:00","13 May, 2021 00:03:00","$26,700.00","$19,800.00",Prospect,Open,Existing Business,Employee Referral,20,32,1. 0 - 60 days,"3. $20,001 - $30K",1446,No,No,No,No,24000011
"Routt, Pauline",Harold Pawlan,"10 Apr, 2021 00:02:00","15 May, 2021 00:03:00","$24,800.00","$35,000.00",Initial Offer,Open,New Business,Employee Referral,100,35,1. 0 - 60 days,"3. $20,001 - $30K",1878,No,No,No,No,24000024
"Neil, Jorge",Roger Terrence,"10 Apr, 2021 00:02:00","17 May, 2021 00:03:00","$97,600.00","$105,000.00",Proposal/Price Quote,Open,New Business,Web Research,100,37,1. 0 - 60 days,5. Above 40K,1766,No,No,No,No,24000021
"Davis, Mae",Harold Pawlan,"09 Apr, 2021 00:02:00","11 May, 2021 00:03:00","$85,900.00","$105,300.00",Closed Won,Won,New Business,Employee Referral,0,32,1. 0 - 60 days,5. Above 40K,1528,No,No,No,No,24000015
"Hernandez, Ethel",Tina Thomas,"08 Apr, 2021 00:02:00","11 Apr, 2021 00:03:00","$28,800.00","$26,500.00",Proposal/Price Quote,Open,New Business,Sales Mail Alias,20,3,1. 0 - 60 days,"3. $20,001 - $30K",1774,No,No,No,No,24000022
"Bush, John",Augustine Paul,"06 Apr, 2021 00:02:00","10 Apr, 2021 00:03:00","$16,700.00","$11,500.00",Closed Won,Won,Existing Business,OnlineStore,100,4,1. 0 - 60 days,"2. $10,001 - $20K",1660,No,No,No,No,24000017
"Hampton, Sharon",Tina Thomas,"04 Apr, 2021 00:02:00","05 Apr, 2021 00:03:00","$10,700.00","$19,400.00",Closed Won,Won,New Business,Partner,100,1,1. 0 - 60 days,"2. $10,001 - $20K",1889,No,No,No,No,24000024
"Butler, Frank",David Love,"03 Apr, 2021 00:02:00","04 Apr, 2021 00:03:00","$122,300.00","$126,850.00",Prospect,Open,New Business,Sales Mail Alias,80,1,1. 0 - 60 days,5. Above 40K,1477,No,No,No,No,24000012
"Ward, Shirley",Santa Cruz Clara,"03 Apr, 2021 00:02:00","04 Apr, 2021 00:03:00","$109,200.00","$155,800.00",Initial Offer,Open,Existing Business,Advertisement,100,1,1. 0 - 60 days,5. Above 40K,1544,No,No,No,No,24000015
"Barrow, Ruth",Rozario Diego,"03 Apr, 2021 00:02:00","07 Apr, 2021 00:03:00","$250,000.00","$220,550.00",Closed Lost,Lost,Existing Business,Public Relations,25,4,1. 0 - 60 days,5. Above 40K,1647,No,No,No,No,24000017
"Guy, Justin",Augustine Paul,"03 Apr, 2021 00:02:00","05 Apr, 2021 00:03:00","$83,800.00","$101,950.00",Proposal/Price Quote,Open,Existing Business,Employee Referral,0,2,1. 0 - 60 days,5. Above 40K,1510,No,No,No,No,24000014
"Delossantos, Donnie",Tina Thomas,"02 Apr, 2021 00:02:00","05 Apr, 2021 00:03:00","$91,800.00","$40,900.00",Prospect,Open,Existing Business,OnlineStore,10,3,1. 0 - 60 days,5. Above 40K,1912,No,No,No,No,24000024
"Walker, Larry",Roger Terrence,"02 Apr, 2021 00:02:00","05 Apr, 2021 00:03:00","$112,200.00","$104,450.00",Closed Won,Won,New Business,Sales Mail Alias,100,3,1. 0 - 60 days,5. Above 40K,1523,No,No,No,No,24000014
"Rodriguez, Gina",Harold Pawlan,"01 Apr, 2021 00:02:00","04 Apr, 2021 00:03:00","$23,600.00","$17,000.00",Initial Offer,Open,Existing Business,Sales Mail Alias,100,3,1. 0 - 60 days,"3. $20,001 - $30K",1558,No,No,No,No,24000015
